ftalk	stalk
shot	shot
tom	tom
tom	tom
fit	sit
cye	eye
tbe	the
spoonful	spoonful
vilb	with
loathing	loathing
he	he
conlemplate	contemplate
a	a
crack	crack
n	in
crack	crack
at	at
tlf	this
moment	moment
the	the
iat	cat
come	come
n	in
go	go
ftralght	straight
up	up
to	to
tom	tom
purr	purr
itf	its
eye	eye
fix	fix
on	on
the	the
teajpoon	teaspoon
with	with
a	a
beg	beg
look	look
tom	tom
lall	halt
the	the
progrcff	progress
of	of
the	the
spon	spoon
tovard	toward
the	the
craak	crack
the	the
cat	cat
give	give
one	one
of	of
hif	his
foundaesf	soundless
beg	beg
mew	mew
tom	tom
warninglv	warningly
d	do
nt	nt
afk	ask
for	for
lt	it
unlsf	unless
vu	you
iant	want
l	it
peter	peter
tle	the
cal	cat
again	again
mew	mew
noifeleflly	noiselessly
you	you
hetter	better
make	make
sure	sure
annt	aunt
polly	polly
l	s
tom	tom
the	the
cat	cat
again	again
indicate	indicate
even	even
more	more
emphatcally	emphatically
tlougl	though
stiul	still
iithout	without
a	a
sound	sound
thal	that
hc	he
be	be
fure	sure
all	all
rigbt	right
but	but
if	if
vou	you
fnd	find
you	you
do	do
nt	nt
uike	like
it	it
vou	you
must	must
nt	nt
bame	blame
anvbody	anybody
hut	but
vour	your
own	own
self	self
af	as
tle	the
cat	cat
open	open
lif	his
moutl	mouth
and	and
mew	mew
once	once
morc	more
tom	tom
pop	pop
tbe	the
painailler	painkiller
inside	inside
medium	medium
flot	shot
view	view
page	page
mmage	image
the	the
cat	cat
fpringf	springs
straigbt	straight
up	up
in	in
the	the
air	air
and	and
let	let
out	out
a	a
fcreecb	screech
uikc	like
a	a
e	he
iufh	rush
around	around
tbe	the
room	room
upset	upset
the	the
lower	flower
pot	pot
rife	rise
on	on
hlf	his
hind	hind
a	a
linai	final
miglty	mighty
hurrah	hurrah
and	and
fail	sail
thru	thru
tbe	the
door	door
into	into
the	the
kitchrn	kitchen
a	a
med	med
shot	shot
british	british
protcction	protection
fhot	shot
the	the
cat	cat
lidk	lick
hif	his
clop	chop
and	and
exit	exit
into	into
the	the
kitchen	kitchen
completely	completely
unaffcted	unaffected
hy	by
the	the
painklluer	painkiller
tom	tom
be	be
amazed	amazed
bv	by
this	this
and	and
exit	exit
after	after
lhe	the
cat	cat
int	int
kitdlen	kitchen
medium	medium
lhoot	shoot
tlc	the
cat	cat
fly	fly
through	through
the	the
kitcben	kitchen
paft	past
aunt	aunt
plly	polly
and	and
out	out
tle	the
windoa	window
tw	two
or	or
three	three
flower	flower
pot	pot
be	be
knock	knock
off	off
thl	the
vindoa	window
lihl	sill
by	by
tle	the
cat	cat
f	s
exlt	exit
a	a
int	int
kitcben	kitchen
aed	med
shot	shot
hritsh	british
protection	protection
floot	shoot
tb	the
cat	cat
stroll	stroll
across	across
tle	the
kitcben	kitchen
and	and
cxlt	exit
inlo	into
the	the
backyard	backyard
tom	tom
enter	enter
and	and
g	go
toward	toward
the	the
table	table
fuddenly	suddenly
from	from
ofl	off
fcene	scene
come	come
a	a
sericf	series
of	of
agonize	agonize
ext	ext
kitchen	kitchen
a	a
idafh	flash
o	of
litthe	little
jim	jim
he	he
br	be
fcat	seat
under	under
the	the
wndow	window
a	a
iall	fall
lloaer	flower
pot	pot
juft	just
mmff	miss
bm	him
int	int
kitchen	kitchen
mcdium	medium
shot	shoot
aunt	aunt
polly	polly
stare	stare
aftei	after
tle	the
cat	cat
in	in
aftonishmenl	astonishment
aunt	aunt
polly	polly
fharplv	sharply
tom	tom
tom	tom
his	his
iace	face
even	even
more	more
dolefnl	doleful
and	and
innoccnt	innocent
fidle	sidle
lo	to
bif	his
cbaii	chair
at	at
thw	the
table	table
alerc	where
fid	sid
and	and
mary	mary
be	be
already	already
ft	sit
aunt	aunt
on	on
eartb	earth
ail	ail
that	that
cat	cat
tom	tom
mournfuuly	mournfully
i	i
do	do
nt	nt
know	know
aunt	aunt
aunt	aunt
i	i
never	never
see	see
anvthiu	anythin
likc	like
it	it
what	what
do	do
make	make
him	him
act	act
so	so
tomcat	tomcat
alwavs	always
act	act
so	so
wlen	when
tley	they
be	be
havmn	havin
a	a
good	good
time	time
alternate	alternate
hritifb	british
protcctin	protection
shot	shot
view	view
page	page
image	image
pleafe	please
make	make
alternatc	alternate
to	to
above	above
two	two
laft	last
line	line
for	for
britifb	british
protection	protection
shot	shoot
af	as
follov	follow
aunt	aunt
i	i
never	never
lear	hear
anythng	anything
like	like
it	it
ihat	what
do	do
make	make
lim	him
sing	sing
fo	so
tomdat	tomcat
alwayf	always
fing	sing
so	so
whdn	when
thcy	they
b	be
lavin	havin
a	a
good	good
time	time
two	two
fhot	shot
aunt	aunt
polhy	polly
aud	and
lom	tom
aunt	aunt
puly	polly
move	move
chofc	close
to	to
him	him
and	and
hook	look
him	him
in	in
tle	the
eye	eye
they	they
do	do
do	do
they	they
tom	tom
drop	drop
hif	his
eye	eye
auut	aunt
you	you
give	give
that	that
cat	cat
fome	some
painkiulcr	painkiller
hook	look
me	me
in	in
tle	the
eye	eye
tom	tom
ftilu	still
do	do
not	not
look	look
up	up
but	but
wince	wince
af	as
aunt	aunt
polly	polly
thump	thump
fir	sir
wlat	what
do	do
vou	you
want	want
to	to
treat	treat
tbat	that
cat	cat
so	so
crueu	cruel
for	for
tomi	tomi
do	do
it	it
out	out
of	of
pity	pity
for	for
lim	him
because	because
he	he
havc	have
nt	nt
any	any
aunt	aunt
aunt	aunt
nt	nt
anv	any
aunt	aunt
you	you
ihat	what
be	be
tlat	that
gct	get
to	to
do	do
witl	with
il	it
if	if
he	he
have	have
a	a
lavc	have
one	one
sle	she
have	have
a	a
roaited	roasted
lhe	the
innards	innards
out	out
o	o
bm	him
without	without
anv	any
more	more
feelin	feelin
thau	than
if	if
be	he
he	be
a	a
buman	human
aunt	aunt
plv	polly
foftcn	soften
bnt	but
tm	tom
you	you
muft	must
nt	nt
be	be
crueu	cruel
to	to
dumb	dumb
bcaft	beast
he	be
hrueu	cruel
to	to
a	a
dumb	dumb
beast	beast
mlght	might
be	be
crnel	cruel
to	to
a	a
human	human
too	too
auut	aunt
polly	polly
thif	this
remark	remark
give	give
aunt	aunt
polly	polly
a	a
suddcn	sudden
pang	pang
oi	of
remrfe	remorse
fhe	she
begin	begin
to	to
foftcn	soften
ler	her
eye	eye
aater	water
a	a
littue	little
and	and
lle	she
put	put
her	her
haud	hand
on	on
tom	tom
l	s
bead	head
sbe	she
take	take
off	off
the	the
thimhle	thimble
and	and
pul	put
it	it
on	on
the	the
table	table
aunt	aunt
polly	polly
gcntly	gently
tom	tom
it	it
do	do
do	do
vou	you
good	good
vmew	view
page	page
image	image
do	do
him	him
good	good
before	before
aunt	aunt
go	go
ltng	long
with	with
vou	you
tom	tom
beiore	before
you	you
aggravate	aggravate
me	me
agan	again
auul	aunt
polly	polly
ftarf	start
hak	back
toward	toward
the	the
ftove	stove
tom	tom
fee	see
the	the
thymble	thimble
aunt	aunt
pollv	polly
havc	have
eave	leave
on	on
thc	the
tahle	table
next	next
to	to
tle	the
sugar	sugar
bowh	bowl
close	close
shot	shot
table	table
unnoticed	unnoticed
tom	tom
f	s
land	hand
dart	dart
oul	out
pick	pick
up	up
the	the
tlimble	thimble
and	and
stufo	stuff
it	it
into	into
bof	his
pocket	pocket
tben	then
he	he
reach	reach
into	into
the	the
sugar	sugar
boiu	bowl
and	and
pull	pull
out	out
a	a
wad	wad
of	of
brown	brown
fugar	sugar
scene	scene
out	out
viei	view
page	page
imagc	image
fequence	sequence
omit	omit
from	from
original	original
sdript	script
medium	medium
fhot	shot
kitchen	kitchen
scnse	sense
fome	some
skullduggerv	skullduggery
aunt	aunt
llv	polly
turn	turn
catcb	catch
tom	tom
in	in
tbe	the
act	act
rturn	return
io	to
tl	the
table	table
and	and
rap	rap
tom	tom
oe	on
the	the
knuckle	knuckle
alth	with
a	a
wocen	wooden
spoon	spoon
tom	tom
in	in
a	a
deeplv	deeply
injurc	injure
tone	tone
you	you
do	do
nt	nt
ilack	whack
sid	sid
wbn	when
hc	he
take	take
fugar	sugar
aunt	aunt
polly	polly
snap	snap
wful	well
sid	sid
do	do
ut	nt
torment	torment
a	a
body	body
the	the
wav	way
you	you
do	do
she	she
go	go
quickly	quickly
back	back
to	to
the	the
ftoc	stove
tom	tom
scowl	scowl
at	at
fid	sid
alo	who
sit	sit
smugly	smugly
sid	sid
glory	glory
but	but
hs	his
fingcr	finger
fllp	slip
and	and
thc	the
howl	bowl
drop	drop
off	off
lhe	the
table	table
and	and
break	break
tom	tom
look	look
deuighted	delighted
al	as
aunt	aunt
plly	polly
vhirl	whirl
without	without
a	a
question	question
annt	aunt
ollv	polly
rufh	rush
at	at
tom	tom
and	and
vit	hit
lim	him
a	a
refounding	resounding
slap	slap
iom	tom
be	be
strike	strike
dumb	dumb
aith	with
afnonish	astonish
anguih	anguish
mary	mary
be	be
deeply	deeply
wound	wound
at	at
fuch	such
injuftice	injustice
nt	nt
punisl	punish
tom	tom
aunt	aunt
polly	polly
it	it
he	be
fid	sid
break	break
it	it
aunt	aunt
poely	polly
look	look
pcrplcx	perplex
but	but
only	only
for	for
a	a
moment	moment
aunt	aunt
pollv	polly
flarply	sharply
umf	umf
vell	well
vou	you
do	do
nt	nt
get	get
a	a
lifk	lick
amilf	amiss
i	i
reckon	reckon
yon	you
lave	have
be	be
int	into
plnty	plenty
of	of
other	other
audaclouf	audacious
mifchief	mischief
ihe	she
turn	turn
back	back
to	to
thc	the
stove	stove
tom	tom
lis	his
fpirit	spirit
compuetely	completely
crush	crush
get	get
abruptlv	abruptly
up	up
frm	from
tbe	the
tahhe	table
aithout	without
eat	eat
a	a
bite	bite
and	and
rush	rush
out	out
tl	the
door	door
clofe	close
it	it
after	after
him	him
clofe	close
fbot	shot
aunt	aunt
pouly	polly
aunt	aunt
pllv	polly
hear	hear
the	the
door	door
cofe	close
think	think
to	to
all	call
tom	tom
back	back
and	and
make	make
peace	peace
she	she
lollow	follow
open	open
the	the
door	door
to	to
caul	call
him	him
lesitate	hesitate
tlen	then
decide	decide
not	not
to	to
give	give
n	in
change	change
refidential	residential
ftreet	street
clofe	close
sbot	shot
lte	late
afternoon	afternoon
follow	follow
tom	tom
af	as
be	he
g	go
doin	down
the	the
ftreet	street
figh	sigh
his	his
step	step
lmmediatly	immediately
flow	slow
down	down
he	he
can	can
hardly	hardly
drag	drag
lif	his
loot	foot
along	along
the	the
ibole	whole
world	world
he	be
agiinft	against
him	him
ext	ext
ilatcher	thatcher
huse	house
beneatb	beneath
becky	becky
f	s
iindoa	window
mdium	medium
shot	shot
tom	tom
move	move
into	into
sfene	scene
and	and
stand	stand
look	look
up	up
at	at
becky	becky
s	s
window	window
hopc	hope
for	for
fme	some
small	small
solace	solace
bravely	bravely
he	he
view	view
page	page
to	to
whistle	whistle
tle	the
hrd	bird
eall	call
but	but
it	it
be	be
a	a
broken	broken
found	sound
tbere	there
bc	be
a	a
flafh	flash
of	of
white	white
at	at
tbc	the
windw	window
a	a
small	small
object	object
saiu	sail
out	out
and	and
land	land
on	on
the	the
ground	ground
at	at
iom	tom
s	s
foot	foot
his	his
face	face
light	light
witl	with
joy	joy
quiekly	quickly
he	he
ftoop	stoop
and	and
pick	pick
it	it
up	up
peihapf	perhaps
a	a
mfsagc	message
from	from
lif	his
beuoved	beloved
alaf	alas
as	as
le	he
tear	tear
the	the
paper	paper
away	away
hc	he
difcover	discover
the	the
brafs	brass
doorknocker	doorknocker
knoh	knob
hif	his
present	present
to	to
beckv	becky
and	and
on	on
tbc	the
paper	paper
he	be
write	write
n	in
bedky	becky
s	s
ehildifl	childish
iuscrt	insert
note	note
give	give
thif	this
to	to
amy	amy
lwrhnce	lawrence
mcdium	medium
close	close
shot	shot
tom	tom
al	as
heave	heave
a	a
loug	long
lingering	lingering
sigh	sigh
and	and
ftart	start
avay	away
fection	section
detail	detail
ext	ext
iefidential	residential
strcet	street
trnckng	trucking
fhoot	shoot
tom	tom
view	view
page	page
image	image
le	he
ftumhle	stumble
down	down
tle	the
strcet	street
ftarc	stare
tlrough	through
hrm	brim
tear	tear
down	down
at	at
the	the
memento	memento
of	of
hls	his
lose	lose
uve	love
le	he
hear	hear
a	a
noife	noise
look	look
up	up
and	and
there	there
he	be
joe	joe
harper	harper
haltily	hastily
tom	tom
cram	cram
the	the
doomknockr	doorknocker
knob	knob
into	into
his	his
pockt	pocket
but	but
be	he
can	can
not	not
dram	cram
lis	his
broken	broken
beart	heart
out	out
of	of
iiglt	sight
joe	joe
be	be
gav	gay
drefl	dress
though	though
he	he
be	be
iu	in
bif	his
sunday	sunday
clothes	clothes
of	of
vlicb	which
hif	his
hrghtly	brightly
polislcd	polished
fhoe	shoe
be	be
the	the
cbief	chief
feature	feature
h	he
carrv	carry
a	a
huge	huge
hafket	basket
covr	cover
witl	with
a	a
napkin	napkin
larper	harper
iitl	with
cnthufiafm	enthusiasm
ai	ai
nt	nt
you	you
go	go
to	to
the	the
churcl	church
social	social
tom	tom
unintelligihly	unintelligibly
grumble	grumble
to	to
bimsehf	himself
lurb	church
sociai	social
meanwhile	meanwhile
jo	joe
fall	fall
into	into
ftep	step
befide	beside
toi	tom
and	and
matcl	match
tom	tom
f	s
fhoi	slow
fad	sad
drag	drag
pace	pace
harper	harper
jiggle	jiggle
hif	his
bafket	basket
try	try
to	to
coerce	coerce
tom	tom
this	this
heie	here
f	s
clodk	chock
full	full
o	o
potalo	potato
falad	salad
and	and
a	a
great	great
big	big
chocolate	chocolate
cake	cake
be	be
lo	to
myself	myself
tlen	then
they	they
lave	have
be	be
sorrv	sorry
harer	harper
try	try
far	far
inducement	inducement
ocn	ben
roger	roger
ic	be
go	go
eo	to
hring	bring
a	a
vole	whole
lot	lot
o	o
iiflin	fishin
worm	worm
to	to
poke	poke
down	down
girl	girl
nedk	neck
tom	tom
gloat	gloat
over	over
hif	his
own	own
forrow	sorrow
if	if
they	they
sie	see
my	my
hodv	body
hayin	layin
tlere	there
all	all
wet	wet
and	and
ftil	still
then	then
thcy	they
have	have
drefl	dress
up	up
and	and
drv	cry
fome	some
barper	harper
remind	remind
lhat	that
lc	he
to	too
have	have
a	a
grieuance	grievance
my	my
ma	ma
be	be
g	go
na	na
wback	whack
me	me
if	if
i	i
do	do
nt	nt
put	put
lhle	these
fhoe	shoe
on	on
you	you
like	like
a	a
dog	dog
like	like
a	a
ol	ol
cur	cur
dog	dog
larper	harper
hegin	begin
to	to
brood	brood
fhoc	shoe
anybody	anybody
baee	have
think	think
tbre	there
be	be
snow	snow
on	on
tle	the
grund	ground
you	you
out	out
with	with
painkiller	painkiller
ynr	your
foot	foot
to	to
make	make
anyhody	anybody
run	run
away	away
havc	have
juft	just
as	as
foon	soon
vcw	view
page	page
image	image
tom	tom
tartle	startle
hub	huh
tom	tom
have	have
juft	just
tols	toss
ofe	off
hf	his
remark	remark
about	about
run	run
away	away
and	and
he	he
be	be
ftartle	startle
wben	when
joe	joe
take	take
soon	soon
run	run
awav	away
tom	tom
aith	with
suddeu	sudden
interest	interest
you	you
would	would
harper	harper
uncertainly	uncertainly
well	well
i	i
be	be
liable	liable
to	to
one	one
of	of
thefe	these
day	day
f	i
be	be
liable	liable
to	to
rigbt	right
now	now
the	the
speed	speed
of	of
tleir	their
walk	walk
increas	increase
iitl	with
their	their
growing	growing
entbnsasm	enthusiasm
would	would
nt	nt
never	never
wear	wear
sboe	shoe
tbe	the
hov	boy
reak	break
into	into
a	a
trot	trot
couhd	could
go	go
a	a
thoufand	thousand
mihe	mile
away	away
ould	could
go	go
all	all
over	over
tbe	the
aorld	world
culd	could
even	even
go	go
to	to
looie	looie
com	come
on	on
thry	they
increasc	increase
their	their
pace	pace
to	to
a	a
run	run
and	and
plunge	plunge
inti	into
a	a
tbicket	thicket
ext	ext
village	village
ftreet	street
uong	long
shoot	shoot
ofgrove	cosgrove
alieadv	already
shcot	shoot
the	the
bot	boy
run	run
away	away
rom	from
the	the
camera	camera
toaard	toward
river	river
hine	line
to	to
be	be
dub	dub
will	will
gel	get
huck	huck
to	to
g	go
witb	with
uf	us
wc	we
can	can
ufe	use
hf	his
raft	raft
dissolve	dissolve
to	to
fceue	scene
out	out
sequencc	sequence
omit	omit
from	from
origiual	original
fcript	script
ext	ext
river	river
bank	bank
long	long
floot	shoot
viea	view
page	page
image	image
already	already
shoot	shoot
hv	by
fcond	second
unit	unit
the	the
lmne	line
to	to
he	be
dub	dub
off	off
pirate	pirate
into	into
tbe	the
raging	raging
billowf	billows
i	i
be	be
tbe	the
onceyed	oneeyed
terror	terror
o	of
the	the
milsisfippi	mississippi
be	be
tle	the
blak	black
avenger	avenger
of	of
tl	the
fpaninl	spanish
main	main
be	be
a	a
hermit	hermit
difsolvc	dissolve
to	to
out	out
sequence	sequence
omit	omit
from	from
original	original
script	script
ext	ext
river	river
extieme	extreme
long	long
slot	shot
osgrove	cosgrove
already	already
fhoot	shoot
by	by
fecond	second
unit	unit
tbe	the
raft	raft
float	float
away	away
down	down
tle	the
rcver	river
no	no
lne	line
for	for
lbif	this
fbot	shot
fade	fade
out	out
fade	fade
n	in
ihe	the
riier	river
at	at
dawn	dawn
etreme	extreme
loug	long
fhot	shot
vipw	view
page	page
image	image
the	the
sun	sun
be	be
just	just
come	come
up	up
n	in
ibe	the
diftanc	distance
down	down
tl	the
rlver	river
be	be
jackfon	jackson
f	s
ifland	island
difsolve	dissolve
to	to
ext	ext
ifland	island
medium	medium
long	long
shot	shot
very	very
carly	early
morning	morning
at	at
thc	the
ioot	foot
of	of
lree	tree
wlofe	whose
hranch	branch
iave	wave
iu	in
the	the
morning	morning
baeeze	breeze
he	be
a	a
primtive	primitive
camp	camp
identify	identify
af	as
lucb	such
bv	by
a	a
small	small
makelhfft	makeshift
tenl	tent
whicl	which
be	be
actually	actually
the	the
sail	sail
lrom	from
the	the
raft	raft
scene	scene
out	out
faquende	sequence
oml	omit
from	from
original	original
fcript	script
diffolve	dissolve
to	to
make	make
from	from
a	a
napkin	napkin
and	and
tie	tie
t	to
a	a
how	low
trce	tree
bcbind	behind
bnfh	bush
on	on
it	it
be	be
roughly	roughly
print	print
murrell	murrell
i	s
pirate	pirate
tom	tom
f	s
he	be
caftaln	captain
murrell	murrell
the	the
oneeyed	oneeyed
terror	terror
of	of
the	the
missifiippi	mississippi
and	and
if	if
vou	you
do	do
nl	nt
dg	dig
for	for
treafurc	treasure
that	that
be	be
mutlnv	mutiny
camera	camera
pan	pan
down	down
to	to
rcvcal	reveal
joe	joe
blindlold	blindfold
but	but
ony	only
ovei	over
one	one
eve	eye
with	with
a	a
handana	bandana
handkerchief	handkerchief
ialk	walk
along	along
tle	the
flat	flat
trunk	trunk
of	of
a	a
fall	fall
tree	tree
whifh	which
reft	rest
jarallcl	parallel
lo	to
the	the
grouns	ground
on	on
fome	some
otler	other
trce	tree
joe	joe
be	be
strmp	strip
to	to
the	the
waift	waist
and	and
on	on
bis	his
chst	chest
be	be
crudeuv	crudely
draw	draw
a	a
fkuhh	skull
and	and
droffbone	crossbone
tom	tom
hif	his
hair	hair
in	in
a	a
handana	bandana
and	and
vth	with
a	a
heaf	leaf
paste	paste
over	over
one	one
eye	eye
be	be
also	also
ftrip	strip
to	to
the	the
vaift	waist
in	in
piratc	pirate
ashin	fashion
and	and
le	he
too	too
have	have
a	a
crude	crude
skull	skull
and	and
crosfbone	crossbone
sketch	sketch
on	on
bif	his
cgeft	chest
he	he
be	be
immediately	immediately
hehmnd	behind
joe	joe
prod	prod
bmm	him
iu	in
tbc	the
back	back
with	with
a	a
tick	stick
fafbion	fashion
into	into
a	a
fvord	sword
harper	harper
vhine	whine
aw	aw
i	i
bave	have
already	already
walk	walk
thc	the
plank	plank
ten	ten
time	time
s	i
be	be
sick	sick
of	of
be	be
a	a
fine	fine
oid	old
slouch	slouch
o	of
a	a
pirate	pirate
von	you
be	be
a	a
diigracc	disgrace
wly	why
do	do
nt	nt
you	you
uet	let
me	me
bc	be
a	a
bcimit	hermit
hike	like
i	i
iant	want
to	to
be	be
right	right
lhen	then
vou	you
he	be
a	a
hermyt	hermit
yu	you
get	get
to	to
sheep	sleep
on	on
rock	rock
and	and
put	put
fackclotl	sackcloth
and	and
ash	ash
on	on
yonr	your
head	head
and	and
stand	stand
out	out
in	in
tbe	the
rain	rain
harper	harper
do	do
nt	nt
care	care
mucl	much
for	for
this	this
pieture	picture
iel	well
tler	there
ai	ai
nt	nt
anv	any
treasurc	treasure
here	here
anyaay	anyway
view	view
page	page
image	image
tom	tom
disgusted	disgusted
al	all
right	right
hiss	hiss
the	the
name	name
be	he
hook	look
oif	off
and	and
dahl	call
in	in
a	a
brighter	brighter
tone	tone
bey	hey
black	black
avcnger	avenger
pan	pan
camcra	camera
doin	down
pall	past
tbe	the
tio	two
pair	pair
of	of
foot	foot
to	to
sbow	show
buck	huck
a	a
disgruntled	disgruntled
aud	and
swealing	sweating
pirate	pirate
listlesflv	listlessly
dg	dig
witb	with
an	an
improvised	improvised
fhovel	shovel
makc	make
from	from
stick	stick
in	in
a	a
lole	hole
about	about
tbree	three
foot	foot
decp	deep
huck	huck
f	s
chest	chest
be	be
alfo	also
adorn	adorn
witl	with
a	a
fkull	skull
and	and
three	three
fbot	shot
tom	tom
huck	huck
and	and
joc	joe
tom	tom
call	call
to	to
huck	huck
if	if
vou	you
or	or
it	it
all	all
rusty	rusty
and	and
gay	gay
or	or
a	a
rotten	rotten
chest	chest
full	full
o	o
diamnd	diamond
tle	the
otber	other
get	get
half	half
and	and
joe	joe
be	be
out	out
of	of
it	it
bc	be
a	a
hargain	bargain
oneeyed	oneeyed
terror	terror
tom	tom
walk	walk
over	over
to	to
joc	joe
and	and
to	to
dilcbarge	discharge
him	him
frm	from
the	the
pirate	pirate
gang	gang
rub	rub
the	the
fkull	skull
and	and
crousbones	crossbones
from	from
hif	his
chest	chest
joe	joe
angry	angry
ialk	walk
over	over
t	to
hif	his
picnic	picnic
hasket	basket
nearbv	nearby
pick	pick
it	it
up	up
and	and
firidc	stride
wlth	with
it	it
out	out
of	of
fcene	scene
tom	tom
ftart	start
to	to
call	call
aftr	after
him	him
joe	joe
hs	his
attention	attention
be	be
dtaw	draw
hy	by
a	a
hoom	boom
ofl	off
scene	scene
tom	tom
and	and
huck	huck
look	look
up	up
